Indonesia,Simalungun
balas,balas
balik,balik
balik,mulak
balik,pagoling
baling,ingon
balut,gulu
bambu,buluh
bambu,garingging
bambu  untuk membuat rumah,aris
bambu muda yang,baoh
bambu tempat air,garingging
bambu yang,turbung
bambu yang dibelah ujungnya,turbung
bandal,dajal
bandal; keras kepala,dajal
bandel,jangal
bangga,hede
bangga,unsaga
bangga (atas diri sendiri),unsaga
bangkai,bangkei
bangkai,mayat
bangkang,jua
bangkit,bait
bangkit,puho
bangku,bangku
bangsa,ampoldang
bangsa,bangsa
banjir,bobang
banjir,sumbang
banjir keringat,momot
bantal,halangulu
bantal,langkian
banting,pas
bantu,astu
bantu,bastu
bantu,kahei
bantu,sampat
bantuan,keheion
bantuan,keheion 
banyak,bahat
banyak,bosei
banyak,buei
banyak,hanar
banyak,harantui
banyak,harunrun
banyak,jajan
banyak,junah
banyak,lonjan
banyak,lota
banyak,marsimutah
banyak,poyad
banyak,rasei
banyak,sab
banyak,sampal
banyak bergantungan,harantui
banyak habis,lahar
banyak kerja,buhut
banyak orang yang bermuntahan parmutah n orang yang mudah muntah,marsimutah 
banyak sekali,hanjat
banyak sekali,lunak
bapak,bapa
baptis,didi
bara,baya
bara,ya
bara apai,dagas
bara api,nar
bara api,tunam
barang,basebase
barang,doramani
barang,doromani
barang,mosal
barang (makanan dan sebagainya) yang diberikan sebagai persembahan kepada roh halus,berean
barang- barang paerhiasan pengantin doran [dOran] n bunyi piring yang,doramani
barang- barang perhiasan pengantin,doromani
barang simpanan,homitan
barang yang ber- serak,runta
barang yang berserak,runta
barang yang sudah lama tidak terpakai,basebase
barang-barang bekas,mosal
barat,hasundutan
barat,hasundutan 
baring,gale
baris,baris
baris,noran
baris,ristei
baris,titir
barter,kokang
baru,baru
baru,honsi
baru,roba
baru tumbuh,turab
basah,arbah
basah,basah
basah,bongsot
basah,litap
basah,marlimur
basah,mosap
basah,taptap
basah kuyup,huyup
basah kuyup,limur
basah kuyup,marlimur 
"basah kuyup; 	kuyup",limur
basi,basi
basi,dangir
basi,mayom
basi; mulai busuk,mayom
baskom,sambung
basuh,basuh
basuh,jomuk
basuh,jumuk
basuh,losou
basuh,usah
basuh; cuci,jomuk
basuh; cuci,jumuk
batang tumbuh,halung
batang tumbuh- tumbuhan berbentuk tali,halung
batas,alog
batas,balog
batas,batos
batas,bolat
batas,ingganan
batas,nolih
batas,simbalog
batas,sogih
batas (untuk pekerjaan),nolih
batik,batik
batu,asahan
batu,batu
batu apung,ranggisgis
batu asah kecil,lian
batu giling,tuktuk
batu penindih,barugu
batu penindih yang ditenggelamkan ke dalam air agar benda tersebut teng- gelam,barugu
batu tulis,lei
batuk,batuk
batuk,ongkos
batuk serak,ongkos
bau,bau
bau aring,aring
bau busuk,opuk
bau busuk,soham
bau pesing,songa
bawa,boan
bawa,bobai
bawa,boban
bawa semua,hadur
bawah,talaga
bawah,toruh
bawang,hosaya
bawang (sejenis umbi-umbian),bawang
bayam,bayam
bayang- bayang,halinoh
bayar,dang
bayar,gendo
bayar,retes
Bdari katak,jokjok
bebal,bojol
bebal,lontong
bebat,bobat
bebatuan,talutuk
beberapa,sasadiha
beberapa sasanggul [sasaggul] n penyakit bubul,sasadiha
bedak,bodak
begitu,atege
begitu,atene
begitu,honsa
begitu,nin
begitu,sonai
bekal,bohal
bekal,tadah
bekal,tugo
bekas,balameha
bekas,pamongkikan
bekas batas ladang,balameha
bekas cambukan,bolei
bekas ketaman,pinuh
bekas ketaman kayu yang ada di ladang,pinuh
bekas laluan,limbas
bekas yang dilalui,limbei
bekerja,marhobas
bekerja,marhorja 
bekerja parhobas n yang bekerja,marhobas 
beku,boku
bela,hopkop
"bela; mamhopkop	v		membela",hopkop
belah,batis
belah,bolah
belah,rogang
belah,taha
belahan kayu,bangkir
belahan kayu yang kecil,bangkir
belahi,batisi 
belakang,pudi
belakang pinggang,gunung
belakangan,parpudi 
belalai,buleile
belalang,balang
belang,bolang
belang,jolang
belang,rintik
belanga,balanga
belanga; kuali besar,balanga
belenggu,pasung
belerang,hirtah
beli,boli
belia,boboru
beliak,bondil
beliau,morah
belikat,papat
belimbing,balimbing
belimbing,belimbing
belinjo,melinjo
belit,bolit
belok,legot
belukar,galunggung
belum,lape
belum tentu,antah
belum tentu,antoh
"belum, masih dalam keadaan tidak",lape
belut,lindung
benalu,sarindan
benam,bonam
benam,ronjom
benam,usop
benang,bonang
benang,jorgah
benang warna,gatip
benang warna- warni yang dipintal,gatip
benar,bonar
benar,jati
benar,sihong
benar,tongon
benar,tuhu
benar; bonar hatani benar katanya; ,bonar
bencana,hak
benci,jubjub
benci,luat
benci,palak
benci,sogam
benci,sugar
benda atau sesuatu,ngidol
benda atau sesuatu yang besar,ngidol
benda yang berikat,pusil
benda yang berikat bulat seperti telur ayam,pusil
bendungan; timbunan tanah yang ditinggi- kan untuk membendung air,houta
bengar,berang
bengis,benger
bengkak,bosol
bengkak,burnang
bengkak,butong
bengkak,gumbang
bengkak,jembeng
bengkak,tambing
"bengkak (karena		kena	pukulan)",jembeng
bengkak dan gatal,jutal
bengkak dan gatal; ,jutal
bengkak sedikit,punil
bengkarung,ilik
bengkok,bontuk
bengkok,degol
bengkok,dengkut
bengkok,galedou
bengkok,gedug
bengkok,geldok
bengkok,geldou
bengkok,gelug
bengkok,gundung
bengkok,janggir
bengkok,jeot
bengkok,leduk
bengkok,oduk
bengkok tidak,eduk
bengkok tidak sampai patah,eduk
bengkok; - kokkan,gedug
bengkok-bengkok,gedol
benih,bonih
bentang,ampar
bentang,arbong
bentang; hampar; kembang; ,herbang
bentangkan,amparhon 
benteng,hubu
benteng; kubu,hubu
bentuk,bondul
bentuk,pou
bentuk,turpa
bentuk (bangun- an),turpa
bentuk papan,seleng
bentuk papan se- tengah inci,seleng
bentuk terikat lah,ma
bentuk yang tidak,baling
bentuk yang tidak simetris,baling
"bentuk; sabondul		adv	sebentuk",bondul
beo,kiwung
ber,hapuyung
ber,marindik
ber,pandeihon 
ber,ronggot 
ber,tumbalelang
ber- guling terpelanting,tumbalelang
ber; prefiks pembentuk verba  mem- punyai;  menggunakan;  menghasilkan;  dalam jumlah atau kelipatan;  mengaku dan memanggil sebagai,mar
berabang,marabang 
beracun,sorlupan 
berahi,agab
berair,marbah
berair bah banggal sungai,marbah 
berakar,marurat
berakar,marurat 
beralaskan,malapik 
beranak,marniombah 
beranggota,marpagori
beranggota,marpagori 
beranggota,marpagorihon
beranggota,marpagorihon 
berangin,marlogou 
berangkat,bingkat
berani,pag
berani,pangkar
beranjak,manranjak
beranjak,manranjak 
berantai,marunggur
berantai,marunggur 
berantuk,santik
berapa,piga
berapa,sadiha
berapi,marapui 
beras,Ry
beras yang dipergunakan untuk tepung tawar,onja
berasa susah,marngalutan 
berasam,marmigar 
berasap,martimus 
berat,bontan
berat,borat
berat,tondui
beratap,martayup
beratap,martayup 
beratapkan,martayupkon
beratapkan,martayupkon 
beratur,maratur 
berayah,maramang
berayah,maramang 
berayun,tuppol
berayun (naik turun),tuppol
berazimat,marrintabu
berazimat,"marrintabu 
"
berbagi,marbagi 
berbaju,marbaju
berbaju,marbaju 
berbantal,marhalangulu
berbantal,marhalangulu 
berbapak,marbapa 
berbaring,gadal
berbaring,margale
berbaring,margale 
berbaris,marbaris 
berbaris,marristei 
berbaris,martitir 
berbaris,rintang
berbaris,riris
berbatas,marbalog 
berbatas,maringanan
berbatas inggot,maringanan 
berbatasan,marsimbalog
berbatu,marbatu 
berbatuk,marbatuk 
berbau,marbau 
berbau pesing,marsonga 
berbau tidak sedap (tentang bangkai dan sebagainya),masik
berbebat,marbobat 
berbeda,telpang
berbedak,marbodak 
berbekal,martadah
berbekal,martadah 
"ber-belang,	berbintik-bintik",marindik
berbelok,gadul
berbelok,marlegot 
berbelok-belok,gadul
berbengkok,margelug
berbesan,marbesan
berbesan,marbesan 
berbesok,sogod 
berbiak,margargar
berbiak,margargar 
berbicara,bual
berbicara,marhitei
berbicara,marhitei 
berbicara; - cakap,bual
berbiji,marbatu
berbiji batuan,marbatu 
berbintang,marbintang
berbintang bintang marratur,marbintang 
berbintik,marronggot
berbintik,marronggot 
berbisik,marhusip
berbisik,marhusip 
berbisul,"bayohon 
"
berbuah,marboras
berbuah,marboras 
berbuat jahat terhadap,manjahati  
berbuat jasa okang,marombou 
berbuat sebagai orang kesal,mangilei 
berbuih,marlumoh 
berbukit,marbuntu 
berbulu,marambulu
berbulu,marambulu 
berbungkus,marbungkus
berbungkus ,marbungkus 
berbunyi,malibig
berbunyi,"mardajar 
"
berbunyi,marhasak 
berbunyi gedebug,malibig 
berbunyi piring jatuh,mardoran 
berburu,marburu 
berbusukan,makkamasik 
bercabang tupang,martupang 
bercacar,marsasar 
bercahaya,mirlak
bercakap,limlim
bercakap,marbualbual
bercakap,"marbualbual 
"
bercakap; ,limlim
bercampakan,mangkamistak
bercampakan,mangkamistak 
bercampur,marsaor 
bercampur aduk,samuk
bercap,martokan 
bercari,marsitorihan 
berceceran,mangkapeper
berceceran,mangkapeper 
bercelana,marpitolon
bercelana,marpitolon 
bercendawan,mardawan
bercendawan,mardawan 
bercerai,marsirang
bercerai,marsirang 
bercerai,martolah
bercerai,martolah 
bercerita,marsarita
bercerita,marsarita 
bercermin,marhasa
bercermin,marhasa 
bercermin,marsormin
bercermin,marsormin 
bercincin,martintin
bercincin,martintin 
berciuman,marsiummahan
berciuman,marsummah
berciuman,"marsummah 
"
bercucu,marpahompu 
bercukur,marsuhur
bercukur,marsuhur 
berdada,martonton
berdahan,mardangkah
berdahan,mardangkah 
berdamai,mardamei
berdamai,mardamei 
berdapur,martataring
berdapur tauk lawan,martataring 
berdarah,mardaroh
berdarah,mardaroh 
berdatangan,marsiroh 
berdayung,marholey 
berdebar,mardibar
berdebar,mardibar 
berdebu,marabab 
berdebu,marorbuk 
berdekatan,hombar
berdekatan,mardohoran
berdekatan,mardohoran 
berdelapan,ualuh
berdelapan,ualuh 
berdendang tak peduli waktu,marihal 
berdengung,mardondong
berdengung,mardondong 
berdengus,"mardongos 
"
berdenting,marlatang 
berdentum,mardurub
berdentum,"mardurub 
"
berderak,marhurapak
berderak,marhurapak 
berderang,dereng
berderap,margorojob
berderap,"margorojob 
"
berdering,"mardiring 
"
berdesir,marhurasak
berdesir,marhurasak 
berdetik,mardotik 
berdiam diri tidak mau berkata,marlongah 
berdiang,mardadang
berdiang,"mardadang 
"
berdiri,hiad
berdiri,jongjong
berdoa,martonggo 
berdosa,"mardousa 
"
berdudukan,marhundulan
berdudukan,marhundulan 
berduka cita,"marhoru 
"
berduka cita ,marpusok ni uhur 
berduri,marsuga
berduri,marsuga 
berdusta,"bohong  
marladung "
berdusta,"bual 
"
berdusta,marbual 
berdusta,margoak
berdusta,marladung
berdusta,marlamis
berdusta,marlamis 
berdusta,maromou 
berduyun,"marhapuyung 
"
berekor,ihur 
berekor marihur,marihur 
beremas,maromas 
berembun,"embunkan  
marombun "
berempat,opat
berempat,"opat 
"
berenam,onom
berenam,onom 
berenang,marlange
berencana,manragam
berencana,"manragam 
"
beretakan,mangkasiltag
beretakan,mangkasiltag 
bergagang,marsongkir
bergagang,marsongkir 
bergagang,marsuhul
bergagang,marsuhul 
bergandeng,markanting
berganti,libei
berganti,marlibei
berganti,marlibei 
berganti; tukar; ; bertukar,libei
bergantungan,hantui
bergantungan disebabkan buahnya lebat,hantui
bergaram,marsira 
bergatalan,marjutal
bergatalan,"marjutal 
"
bergelang,"golang 
"
bergelang,margolang
bergelang,margolang 
bergelap,golap 
bergelinciran,mangkajiris 
bergembira,dengan
bergembira,dengan 
bergembira,"marmegah 
"
bergemuruh,margorob
bergemuruh,margorob 
bergerak,heorheor
bergerak,hulosor 
bergerak,humatiltal
bergerak,miut
bergerak,muit
bergerak (bergeser dari tempat duduk),miut
bergerak- gerak seperti binatang yang masuk ke dalam telinga,heorheor
bergerak ke atas ke bawah,ondun
bergerak ke sana kemari,humatiltal 
bergeser sedikit demi,osos
bergeser sedikit demi sedikit,osos
bergetar,hitir 
bergetar,mardanggor
bergetar,"mardanggor 
"
berghasing,margasing
berghasing,margasing 
bergigi,maripon
bergigi ipong,maripon 
bergores,jei 
bergotong,"marharoan 
"
bergoyang,unggil
bergoyang,unjal 
bergoyang naik,unjat
bergoyang naik turun,unjat
berguling,gulang
berguling,margulang
berguling gulang,margulang 
bergulung,marhulhul 
berguna,marlabu
berguna,marlabu 
bergundu,marguli 
berhala,begu
berhalangan,borhom
berhalangan,sundat
berhalangan karena penyakit,borhom
berhamburan,mangkasabur
berhamburan,mangkasabur 
berhamburan,puar
berhangus,mangkamosong 
berhantu,marbegu 
berharap,"martingkis 
"
berharga,mararga 
berhembus,maruos
berhembus,maruos 
berhenti,donah
berhenti,marhonti 
berhenti,sangkil
berhenti,sonto
berhenti,sonto 
berhenti ramai,marsohan 
berhinggapan,marsogopan
berhinggapan,marsogopan 
berhujan,marudan
berhujan,marudan 
beri,bere
beri tahu,tugah
beribu,marinang
beribu,marinang 
beribu,marribu 
berikan kepadaku,bojon
berikat pinggang,margondit 
berilmu (terutama dalam hal agama Islam),malim
beringin,jabi
beripar,martondong 
berirama,marlubuk
berirama,marlubuk 
beriring,marhentor
beriring,"marhentor 
"
beriring,maririk 
beriring,marodor 
beriring,odor 
beriring,padot
beriring; ber- samaan,padot
berisi air,alnang
berisi pangision n pengisian,marisi 
beristirahat,"marsaran 
"
beristri,marparsonduk 
beristri,marparsondukhon
berita,barita
berjaga,marari 
berjaga,marjaga 
berjagung,marjagul 
berjalan,mardalan 
berjalan,marsulelet
berjalan,marsulelet 
berjalan ke sana ke,edang
berjalan ke sana ke mari,hontus
berjalan ke sana ke mari tidak menentu,edang
berjalan terhuyung-huyung,jepan
"berjalan	sendiri-sendiri",julungjulung
berjampi,"jampi 
martabas "
berjampi,martabas
berjangkit,sasei
berjanji,bagah 
berjanji,marpadan
berjanji,marpadan 
berjatuhan,guribag
berjatuhan,huritap
berjemur,marjomur
berjendela,martingkap
berjendela,martingkap 
berjerawat,dawa
berjerawat,dawa 
berjerawat,marjarawat 
berjingkat,marjingkat
berjingkat,"marjingkat 
"
berjualan,marjualan 
berjualan,"tiga 
"
berjudi dengan kartu domino,lesset
berjudi domino,lesset
berjudi parjudion n perjudian perihal berjudi,marjudi 
berjumpa,"jumpa  
marjumpah "
berjumpa,pajumpah 
berjungkir balik tunggar,martunggal isang 
berkain,marhiou 
berkali,gasgas
berkali-kali,gasgas
berkali-kali,marhali-hali
berkamar,markamar
berkamar,markamar  
berkampung,marhuta  
berkandang,marharang
berkandang,marharang 
berkantong,marhunsang
berkantong,marhunsang 
berkantong,markussang
berkantong,markussang 
berkapur,marhapur 
berkarat,martusik 
berkarung,marsumpit 
berkat (tuhan),idup
berkata,marhata 
berkata,"marsahap 
"
berkawan,marhasoman 
berkawan,marhuan 
berkayuh,markayuh
berkayuh,markayuh 
berkayuh,"marluga 
"
berkebun,marjuma 
berkebun,markobun
berkebun,markobun 
berkecambah,margusta
berkecambah,"margusta 
"
berkecil hati,marhutuk 
berkedai membuka kedai,"markodei 
"
berkejar,"marsiayakan 
"
berkejar,marsitulusan 
berkejaran,marsidakdakan
berkejaran,marsidakdakan 
berkelahi,marbada
berkelahi,"tengkar 
martinggil 
"
berkelahi (khusus binatang),junggap
berkelakar,margereh 
berkelakar,marhuria 
berkeliling,bangkou
berkeluh,holsohan
berkeluh kesah,holsohan 
berkembang,manggargari
berkembang biak,manggargari 
berkembangbiak,gagar
berkembangbiak,"manggompar 
"
berkeok,keok
berkepala,marulu 
berkepanjangan,lalab
berkepanjangan; terus menerus,lalab
berkerabu,anting 
berkerabu,marhurabu
berkerabu,marhurabu 
berkeranjang,marharanjang
berkeranjang,marharanjang 
berkeringat,marhadogas
berkeringat,marhadogas 
berkeringat karena lelah atau panas,"hadogason 
"
berkerja,marhosei 
berkerumun karena diberi makanan,"marhirap 
"
berkerut,luk 
berkesem,marhasompatan 
berkesudahan berakhir dengan berakibat,mardophon 
berkhianat,martahi
berkhianat,martahi 
berkhitan,marsopit
berkhitan,marsopit 
berkilat,"inal 
"
berkilat,irlak
berkilat,mangkilap
berkilat,mangkilap 
berkilat; cemerlang,irlak
berkipas,marhipas 
berkotek,margegek
berkotek,"margegek 
"
berkotek,"marhotek 
"
berkotoran,marbutak
berkotoran sabutak a sama kotor dengan butak,marbutak 
berkuasa,marhak 
berkuasa,markuasa
berkuasa,markuasa 
berkubang,parsat
berkuda,marhuda 
berkudis,marutu 
berkuku,marsisilon
berkuku,marsisilon 
berkumis,margumis 
berkumpul,gulma
berkumpul,lou 
berkumpul,luhut
berkumpul,marrugun
berkumpul,marrugun 
berkunang,"marsipotpot 
"
berkurang,marhurang
berkurang,marhurang 
berkurang,mindoh
berkurang,sordu
berkurang sakitnya,mindoh
berkurang sedikit,lutik
berkurung,marhuyung
berkurung,marhuyung 
berkutil,buku 
berkutu,hutuan 
berkutu,hutuon
berkutu,hutuon 
berlainan,marlegan
berlainan,marlegan 
berlampu,marsuluh
berlampu,marsuluh 
berlanjut,layur
"berlanjut, terus menerus sehari penuh",layur
berlantai,mardasor
berlantai,mardasor 
berlari,gabug
berlari,lintun 
berlari,manganjis
berlari,marlintun 
berlari dengan ken,maporus 
berlari kencang,manganjis 
berlari-lari sambil melompat-lompat,dihut
berlawanan,maralo
berlawanan,maralo 
berlawanan,marimbang
berlawanan,"saingan  
marimbang 
"
berleher,marborgok
berleher,marborgok 
berlemak,lemak
berlemak; berminyak,lemak
berlempar,marsidangguran
berlempar,marsidangguran 
berlendir,godir 
berlendir,marlender
berlendir,"marlender 
"
berlepasan,mangkaluah
berliku,margelog 
berlilit,horung
berlima,palimalima
berlima,palimalima 
berlipat ganda,longgi
berlonceng,giring 
berlubang rodam,marrobung 
berlumpur,lugut 
berlumpur,marlugut 
berlumur,lagut
berlumut,marlimutlimut 
berlumut unang,marumut 
berlupaan,marsilolos 
berlutut,manowod 
berlutut tittit,martohod 
