Definition,Lemma,Pronunciation,Part of Speech,Sentence Examples and Related Forms
sejenis kayu,andolog,addOlOg,Noun,andolog buei i harangan kayu andolog banyak di hutan
ini,andon,addOn,Pronoun,buat ma demban andon ambillah sirih ini
tali dari tumbuhan,andor,andOr,Noun,andor baen pengikatni soban min ini tali untuk mengikat kayu bakarmu
sejenis kayu,andorasi,addOrasi,Noun,andorasi na tenger hayu pohon andorasi keras kayunya
tampah,andori,addOri,Noun,ise na mambayu andori ai?  siapa yang menganyam tampah itu?
sejenis kayu,andugur,addugur,Noun,andugur adong i pudi bagas nami kayu andugur ada di belakang rumah kami
anak tiri,anduh,adduh,Noun,piga anduh na idapothon  ho? berapa anak tiri mu?
perkutut,anduhur,adduhur,Noun,
ratap,andui,addui,Verb,andui boi mambaenn tangis tangis yang meratap membuat hat sedih
rasa,andung,adduG,Verb,andung lobei maborit atap lang coba dulu sakit atau tidak
sejenis kayu,andupar,addupar,Noun,andupar boi ibaen tiang jabu kayu andupar dapat dijadikan tiang rumah
tampah,anduri,adduri,Noun,ise mamboli anduri  ai?  siapa yang membeli tampah itu
sejenis burung,andurman,addurman,Noun,i tembak amang andurman natuari burung burung andurman ditembak bapak semalam
anak bungsu,aneane,anE anE,Noun,payah do mantubuhkon aneane susah sekali melahirkan anak bungsu
mengangakan mulut,ang,aG,Verb,ang hupamasuk galuh ngangakan mulut  supaya masuk pisangnya
dikeringkan (dengan bara api),angas,aGas,Verb,angas indahan ai anggo domma gurgur kalau sudah mendidih nasi itu keringkan dengan bara api
pelan,anget,aGet,Adjective,"anget marsahap, ase ulang puho ompungmu pelan bericara agar tidak bangun nenekmu"
kalau,angga,aGga,Particle,angga banyak hu hai lang bangku sombong kalau aku kaya aku tidak akan sombong
jerami,anggala,aGgala,Noun,
anggapan,anggapan,aGgapan,Noun,"anggapan hu ho na galak, hape bag aku pikir kau orang yang cerewet, ternyata tidak"
hari ketiga dalam kelender simalungun,anggara,aGgara,Noun,anggara halak simalungun nama hari orang simalungun
daun pandan yang berdaun lebar dan panjang sebagai bahan pem- buat,anggarba,aGgarba,Noun,anggarba boi ibayu mambaen amak daun aggarba untuk membuat tikar
adik,anggi,aGgi,Noun,anggi mambuat tolur ni dayok adik mengambil telur ayam; maranggi v mempunyai adik; nasianggi n adik ipar;
cuci rambut; keramas,angging,aGging,Verb,"angging ma domma kotor jambulanmu keramaslah, sudah kotor rambutmu"
"sesuatu yang dipakai untuk keramas (jeruk purut, bunga-bung dll)",anggir,aGgir,Noun,anggir ibuat utei keramaslah pakai buah jeruk
jika,anggo,aGgo,Particle,anggo maborit ulu pangan tambar ai kalau sakit kepala makanlah obat itu
sejenis burung,anggogoh,aGgOgOh,Noun,anggogoh habang ai burung anggogoh itu terbang
cium (tentang bau-bauan),anggoh,aGgOh,Verb,"anggoh lobei kamar nima ai, bau lang ongga isapu cium dulu kamar kalian itu, baunya seperti tak pernah disapu;"
anggur,anggur,aGgur,Noun,boli bangku anggur ai belikan aku anggur itu
sejenis burung enggang,anggurisa,anGgurisa,Noun,anggurisa taboh daini burung anggurisa enak rasanya
tekun,angin,aGin,Adjective,angin ia marlajar dia belajar dengan tekun
tahi anak bayi,angir,aGir,Noun,angir lape marbau tahi anak bayi belum berbau
,angka,akka,,angka lobei
 kurang masak,angkar,akkar,Adverb,iandahan na angkar nasinya kurang masak;
angkat;  naikkan,angkat,akkat,Verb,"angkat tangan angkat tangan;  bawa: ulang pala maila-ila, angkat ma gela sudahlah jangan malu-malu, angkat saja;"
sejenis rumput,angkihi,aGkihi,Noun,i pangan horbo angkihi on rumput angkihi  dimakan kerbau
jepitan janggut,angkip,akkip,Noun,bakku lobei angkip ai pinjam dulu jepitan janggut itu
sejenis tumbuhan,angkirbung,akkirbuG,Noun,ija i buat ho angkirbung dimana kau ambil daun angkibung itu
ambil,angkit,akkit,Verb,angkit  hayu ai ambil kayu itu
sejenis burung,angkolir,aGkOlir,Noun,manangkap angkolir hanami i harangan kami menangkap burung angkolir di hutan
panggil,angkora,aGkOra,Verb,halak na indilo angkora seorang yang diharap kedatangannya
			tubuh (keseluruhan	bagian		tubuh),angkulu,akkulu,Noun,"angkulu ni inang galek tumang badan ibu lemas sekali;  marhasadon angkulu ampa		pikiran,		pb		sesuai perkataan dengan perbuatan; marangkulu, marangkula v bertubuh: angkula ni anggi ullopak adik mempunyai tubuh lebih putih"
sebelah menyebelah,angkup,akkup,Noun,angkup  juma nami sebelah menyebelah lading kami
angkut,angkut,aGkut,Verb,angkut ma omei ai angkut  dulu padi itu
angsa,angsa,aGsa,Noun,mamalihara angsa	hanami	kami memelihara angsa
dari mana,anjah,anjah,Pronoun,anjah hani ma dari mana kamu?;
sambil,anjaha,anjaha,Adverb,ia ma juguk i lapou anjaha mangisop dia duduk di warung sambil merokok
dengan,anjaha,anjaha,Particle,ia marsahap anjaha ni ompung ia berbicara dengan nenek
akan (untuk menyatakan sesuatu yang tidak diharapkan),anjai,anjai,Adverb,ibotoh seng anjai udan dia mengetahui bahwa tidak akan hujan
pijak,anjak,ajja?,Verb,tentara  ni jopang ai anjak parsabahan tentara jepang itu melintasi persawahan;
mati (ungkapan kasar),anjal,ajjal,Verb,"anjal ho, hurang ajar mati kau, kurang ajar"
angkuh,anjang,ajjaG,Adjective,halak na anjang orang yang angkuh
tangkis,anjei,anjEy,Verb,"anjei gelah, ase ulang hona tangkislah biar jangan kena!"
anjing,anjing,anjiG,Noun,anjing manggan holi-holi anjing makan tulang-tulang
lari kencang,anjis,anjis,Verb,anjis ia halani mabiar ia berlari kencang karena takut; manganjis v berlari kencang
bujuk,anju,anju,Verb,anju ma anggimu bujuklah adikmu; ianju v dibujuk;
tanjung,anjuk,anju?,Noun,
jolok,anjung,anjuG,Verb,anjung jabu ai jolok jambu itu
lewat,anjur,anjur,Verb,anjur haganupan lewatlah semuanya
sejenis rumput,ansiansi,assiansi,Noun,ansiansi tambar ni dakdanak rumput asiansi untuk obat anak-anak
sejenis pohon buah,ansilum,assilum,Noun,mananom  ansilum amang i juma ayah menanam pohon ansilum di ladang
mentimun,ansimun,assimun,Noun,sadia hargani ansimun ai  sakilo berapa harga mentimun sekilo
sembarang,ansisi,assisi,Adjective,ulang ansisi marhata-hata jangan sembarang berkata kata
lipan,ansisibang,assisibaG,Noun,bahat do ansisibang i pudi banyak sekali lipan di belakang
 menganggur,ansoanso,assOansO,Verb,halak  ai ansoanso	orang	itu menganggur;
sejenis binatang,ansog,assOg,Noun,
tempat air yang terbuat dari bambu dua ruas,ansubah,assubah,Noun,amang mambahen ansubah ayah membuat tempat air
tampung (menampung air  dimasukkan ke dalam ansubah),ansuh,assuh,Verb,
tersentuh,ansul,assul,Verb,ansul nahei ni bani butu kakinya tersentuh batu
belum tentu,antah,attah,Adverb,
agak;   kira-kira,antak,atta?,Noun,antak songon nai ma kira-kira begitulah
rasa,antal,attal,Noun,sonang antal uhur ni senang rasa hatinya antaldon	[attaldOn]	n	sejenis
siku,antalis,attalis,Noun,maborit antalis anggi siku adikku sakit
timbang,antan,attan,Verb,antan boras on timbanglah beras itu
ketika,antaran,attaran,Noun,antaran musim udan ketika musim hujan
sejenis pohon,antarsa,attarsa,Noun,antarsa dairi masiah pohon antarasa rasanya pedas
sejenis burung,antarsih,attarsih,Noun,ajang nise antarsih ai milik siapakah burung antarsih itu
bilamana,antigau,attigaw,Particle,
sejenis  tumbuhan daunnya berasa asam,antik,atti?,Noun,mombuat antik i juma si Taing si Taing mengambil tumbuhan antik di ladang
harta,antikan,attikan,Noun,bahat antikan halak ai orang itu banyak harta
kurang (tidak cukup),antil,attil,Adverb,
sejenis kelelawar,anting,attiG,Noun,adong do anting i harangan adakah kelelawar di hutan
serangga busuk,antinganou,attiGanOw,Noun,"ulang jolom antinganou marbau holi tanganmu serangga itu jangan dipegang serangga itu, tanganmu nanti bau"
,antinganting,attiG attiG,Noun,
sejenis  ubi kayu besar,antirha,attirha,Noun,jual ma antirha ai hu tiga jual ubi kayu itu ke pekan
belum tentu,antoh,attOh,Adverb,
keladi hutan,antorkis,attOrkis,Noun,antorkis sipanjononi babi keladi hutan adalah makanan babi
tersentuh,antuk,attu?,Verb,
mamak perempuan,anturang,atturaG,Noun,i ja anturang ai di mana mamak perempuan itu
tegak,anturgok,atturgO?,Adjective,anturgok ho lobei tegakkan kepalamu
ceritakan,antus,attus,Verb,antus turilukian ai boni ceritakan kejadian itu padanya
ada,aong,aOG,Verb,aong apei i bagas ada tikar di rumahku
keluyuran,aor,aOr,Verb,mangaor anggi ai anak itu keluyuran
dan,apa,appa,Particle,
panjat,apap,apap,Verb,apap lobei hayu ai panjat panjat dulu pohon itu
sombong,apas,apas,Adjective,apas halak ai orang itu sombong; mangapas v remeh
tikar,apei,apEy,Noun,amparhon lobei apei in bentangkan dulu tikarnya;
pagar yang tidak dapat ditembus peluru dibuat dari ruyung atau kayu-kayu bulat yang disusun untuk benteng (kubu pertahanan),apil,apil,Noun,
hafal,apil,apil,Verb,apil parlajaran ai! hafal pelajaran itu!;
jepit,apit,apit,Verb,
avokad,apokat,pOkat,Noun,
api,apui,apuy,Noun,songon apui milasmu seperti api panas badanmu;
hapus; usap; mangapus v menghapus,apus,apus,Verb,ia mangapus	lukani	sambil mangingat nasib ni na sial ia menghapus	lukanya	sambil mengingat nasibnya yang sial; mangapushon v mengusapkan
pohon ara,ara,ara,Noun,
peraturan,arah,arah,Noun,
arang,arang,araG,Noun,arang ni hayu arang kayu
harap,arap,arap,Verb,arap uhurhu ho roh saya berharap engkau datang;
 dangkal,aras,aras,Adjective,aras ni bah airnya dangkal;
arus,aras,aras,Noun,aras ni bah
basah,arbah,arbah,Adjective,arbah bajuni	bajunya basah; mangarbah v membasahi; tarbah v dibasahi
lereng,arban,arbas,Noun,arban dolog ai doldol pakon do juma nami lereng gunung itu dekat sekali dengan ladang kami
melintang,arbong,arbOG,Noun,adong hayu arbong i tonga dalan ada kayu melintang di tengah jalan
bentang,arbong,arbOG,Verb,adong sabah arbong i arban dolog ai ada sawah terbentang di lereng gunung itu
rapat,ardah,ardah,Adjective,
asuh,ardak,arda?,Verb,
makan beras,ardom,ardOm,Verb,manuk ai ardom ayam itu makan beras
lumpuh,arepat,arEpat,Adjective,arepat nahe ni lumpuh kakinya
tumpuan hati,arepat,arepat,Noun,songon arepat na marhata-hata bani sisombahon segenap kata- kata diutarakan dalam persembahan
harga,arga,arga,Noun,
pegang,arhat,arhat,Verb,ulang songon i arhat jangan dipegang begitu
hari,ari,ari,Noun,roh inang ari Minggu on datang ibu hari Minggu ini;
siang,arian,arian,Noun,arian borngin siang malam
ijuk,aribut,aribut,Noun,tali aribut
meraut,arid,arid,Verb,inang arid pinsil ibu meraut pinsil
mengikat hewan dekat dengan tempat tambatannya,arih,arih,Verb,arih hambing ai ikat kambing itu;
tambat,arih,arih,Verb,arih tali ai
bau aring,aring,ariG,Noun,aring sibuat ursa bau aring disebabkan oleh rusa
bambu  untuk membuat rumah,aris,aris,Noun,halak ai mambahen jabu aris orang itu membuat rumah bambu
pertimbangan,ariskon,ariskon,Noun,sonaha ariskon ni bagaimana pertimbangannya
lari,arjang,ajjaG,Verb,panangko ai mararjang hu harangan pencuri itu berlar ke hutan
jolok,arjuk,ajju?,Verb,
sejenis daun-daunan,arob,arOb,Noun,
keringkan,aroh,arOh,Noun,
menimba,arsak,arsa?,Verb,arsak ni bah menimba air
sombong,arsang,arsaG,Adjective,arsang halak ai orang itu sombong
ikan mas yang dimasak dengan bumbu  khusus,arsik,arsi?,Noun,
siksa,arsik,arsi?,Verb,
harta,arta,arta,Noun,arta na bahat
arti,arti,arti,Noun,
kepunyaan,artikan,attikan,Noun,artikan nisei horbou ai kepunyaan siapa kerbau itu
sirih,arto,artO,Noun,ajang nisei arto ae milik siapa sirih jalar itu
jaja,aru,aru,Verb,jajakan
jolok,aruk,aru?,Verb,
gosok,asa,asa,Verb,
gosok,asah,asah,Verb,asah pisaou ai gosoklah pisau itu;
a lambat,asak,asa?,,au asak roh aku terlambat datang;
mengisi,asakasak,asa?asa?,Verb,amang asak asak ni bodil ayah mengisi bedil
 kalau,asal,asal,Particle,hubere pe hubam duit asal bujur marhorja kau akan ku  beri uang kalau rajin bekerja;
asal (tentang daerah),asal,asal,Noun,
asap,asap,asap,Noun,asap ni bodil
sarang,asar,asar,Noun,asar ni manuk-manuk sarang burung
merpati,asas,asas,Noun,asas ni ise  ai merpati siapa itu
supaya,ase,ase,Particle,inang manapu jabu ase borsih ibu menyapu rumah supaya bersih
sapu,asei,asey,Noun,inang mambahen asei ibu membuat sapu
